"Name","API Name","Memory","Compute Units (ECU)","vCPUs","GPUs","GPU model","GPU memory","CUDA Compute Capability","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel AVX-512","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Max Bandwidth","EBS Optimized: Max Throughput (128K)","EBS Optimized: Max IOPS (16K)","EBS Exposed as NVMe","Max IPs","Max ENIs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","On EMR","Linux On Demand cost","Linux Reserved cost","RHEL On Demand cost","RHEL Reserved cost","SLES On Demand cost","SLES Reserved cost","Windows On Demand cost","Windows Reserved cost","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","Linux SQL Web On Demand cost","Linux SQL Web Reserved cost","Linux SQL Std On Demand cost","Linux SQL Std Reserved cost","Linux SQL Ent On Demand cost","Linux SQL Ent Reserved cost","EBS Optimized surcharge","EMR cost"
"M5DN Extra Large","m5dn.xlarge","16.0 GiB","0 units","4 vCPUs","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","unknown","unknown","unknown","unknown","150 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 25 Gigabit","4750.0 Mbps","593.75 Mbps","18750.0 IOPS","Yes","60","4","No","Yes","Yes","No","Unknown","No","$0.272000 hourly","$0.171000 hourly","$0.332 hourly","$0.231 hourly","unavailable","unavailable","$0.456000 hourly","$0.355000 hourly","$0.524 hourly","$0.423 hourly","$0.936 hourly","$0.835 hourly","$1.956 hourly","$1.855 hourly","$0.34 hourly","$0.239 hourly","$0.752 hourly","$0.651 hourly","$1.772 hourly","$1.671 hourly","0","unavailable"
"M5A Double Extra Large","m5a.2xlarge","32.0 GiB","0 units","8 vCPUs","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","2880.0 Mbps","360.0 Mbps","16000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","Yes","$0.344000 hourly","$0.217000 hourly","$0.474 hourly","$0.347 hourly","$0.494 hourly","$0.277 hourly","$0.712000 hourly","$0.585000 hourly","$0.847 hourly","$0.72 hourly","$1.672 hourly","$1.545 hourly","$3.712 hourly","$3.585 hourly","$0.479 hourly","$0.352 hourly","$1.304 hourly","$1.177 hourly","$3.344 hourly","$3.217 hourly","0","$0.086 hourly"
"R5B Extra Large","r5b.xlarge","32.0 GiB","0 units","4 vCPUs","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","10000.0 Mbps","1250.0 Mbps","43333.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","$0.298000 hourly","$0.187740 hourly","$0.358 hourly","$0.24774 hourly","$0.423 hourly","$0.23774 hourly","$0.482000 hourly","$0.371740 hourly","$0.5496 hourly","$0.43934 hourly","$0.962 hourly","$0.85174 hourly","$1.982 hourly","$1.87174 hourly","$0.3656 hourly","$0.25534 hourly","$0.778 hourly","$0.66774 hourly","$1.798 hourly","$1.68774 hourly","0","unavailable"
"R5N 12xlarge","r5n.12xlarge","384.0 GiB","0 units","48 vCPUs","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","50 Gigabit","9500.0 Mbps","1187.5 Mbps","40000.0 IOPS","Yes","240","8","No","Yes","Yes","No","Unknown","No","$3.576000 hourly","$2.253000 hourly","$3.706 hourly","$2.383 hourly","unavailable","unavailable","$5.784000 hourly","$4.461000 hourly","$6.595 hourly","$5.272 hourly","$11.544 hourly","$10.221 hourly","$23.784 hourly","$22.461 hourly","$4.387 hourly","$3.064 hourly","$9.336 hourly","$8.013 hourly","$21.576 hourly","$20.253 hourly","0","unavailable"
"R5AD Extra Large","r5ad.xlarge","32.0 GiB","0 units","4 vCPUs","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","150 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","2880.0 Mbps","360.0 Mbps","16000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","$0.262000 hourly","$0.165000 hourly","$0.322 hourly","$0.225 hourly","$0.387 hourly","$0.215 hourly","$0.446000 hourly","$0.349000 hourly","$0.514 hourly","$0.417 hourly","$0.926 hourly","$0.829 hourly","$1.946 hourly","$1.849 hourly","$0.33 hourly","$0.233 hourly","$0.742 hourly","$0.645 hourly","$1.762 hourly","$1.665 hourly","0","unavailable"
"R5N Extra Large","r5n.xlarge","32.0 GiB","0 units","4 vCPUs","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 25 Gigabit","4750.0 Mbps","593.75 Mbps","18750.0 IOPS","Yes","60","4","No","Yes","Yes","No","Unknown","No","$0.298000 hourly","$0.188000 hourly","$0.358 hourly","$0.248 hourly","unavailable","unavailable","$0.482000 hourly","$0.372000 hourly","$0.55 hourly","$0.439 hourly","$0.962 hourly","$0.852 hourly","$1.982 hourly","$1.872 hourly","$0.366 hourly","$0.255 hourly","$0.778 hourly","$0.668 hourly","$1.798 hourly","$1.688 hourly","0","unavailable"
"R5DN Extra Large","r5dn.xlarge","32.0 GiB","0 units","4 vCPUs","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","unknown","unknown","unknown","unknown","150 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 25 Gigabit","4750.0 Mbps","593.75 Mbps","18750.0 IOPS","Yes","60","4","No","Yes","Yes","No","Unknown","No","$0.334000 hourly","$0.210000 hourly","$0.394 hourly","$0.27 hourly","unavailable","unavailable","$0.518000 hourly","$0.394000 hourly","$0.586 hourly","$0.462 hourly","$0.998 hourly","$0.874 hourly","$2.018 hourly","$1.894 hourly","$0.402 hourly","$0.278 hourly","$0.814 hourly","$0.69 hourly","$1.834 hourly","$1.71 hourly","0","unavailable"
"I2 Extra Large","i2.xlarge","30.5 GiB","14 units","4 vCPUs","0","None","0 GiB","0","0","3.5 units","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","Yes","unknown","unknown","Yes","800 GiB               SSD","Yes","Yes","64-bit","Moderate","500.0 Mbps","62.5 Mbps","4000.0 IOPS","No","60","4","Yes","No","Yes","No","HVM","Yes","$0.853000 hourly","$0.424000 hourly","$0.913 hourly","$0.484 hourly","$0.953 hourly","$0.46 hourly","$0.973000 hourly","$0.565000 hourly","$0.993 hourly","$0.578 hourly","$1.23 hourly","$0.768 hourly","$2.537 hourly","$2.108 hourly","$0.921 hourly","$0.449 hourly","$1.333 hourly","$0.861 hourly","$2.353 hourly","$1.881 hourly","$0.02 hourly","$0.213 hourly"
"M5N 16xlarge","m5n.16xlarge","256.0 GiB","0 units","64 vCPUs","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","75 Gigabit","13600.0 Mbps","1700.0 Mbps","60000.0 IOPS","Yes","750","15","No","Yes","Yes","No","Unknown","No","$3.808000 hourly","$2.399000 hourly","$3.938 hourly","$2.529 hourly","unavailable","unavailable","$6.752000 hourly","$5.343000 hourly","$7.834 hourly","$6.425 hourly","$14.432 hourly","$13.023 hourly","$30.752 hourly","$29.343 hourly","$4.89 hourly","$3.481 hourly","$11.488 hourly","$10.079 hourly","$27.808 hourly","$26.399 hourly","0","unavailable"
"T2 Micro","t2.micro","1.0 GiB","Base performance:                 10%","1 vCPUs                                                   for a                 2h 24m                 burst","0","None","0 GiB","0","0","Burstable","Intel Xeon Family","Up to 3.3 GHz","Yes","unknown","unknown","Yes","EBS only","N/A","N/A","32/64-bit","Low to Moderate","N/A","0 Mbps","0 IOPS","No","4","2","No","Yes","Yes","No","HVM","No","$0.011600 hourly","$0.007200 hourly","$0.0716 hourly","$0.0672 hourly","$0.0216 hourly","$0.0162 hourly","$0.016200 hourly","$0.011800 hourly","$0.068 hourly","$0.047 hourly","unavailable","unavailable","unavailable","unavailable","$0.0792 hourly","$0.0748 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
